Claim_ID,Customer_ID,Vehicle_ID,Policy_Start_Date,Claim_Date,Claim_Amount,Claim_Type
1,294149,V294149,2025-09-07,2025-09-07,10000,1
2,157713,V157713,2025-11-28,2025-11-28,10000,1
3,228374,V228374,2025-12-21,2025-12-21,10000,1
4,615168,V615168,2025-10-14,2025-10-14,10000,1
5,281627,V281627,2025-06-21,2025-06-21,10000,1
6,299683,V299683,2025-10-21,2025-10-21,10000,1
7,985095,V985095,2025-07-07,2025-07-07,10000,1
8,999773,V999773,2025-08-14,2025-08-14,10000,1
9,513451,V513451,2025-11-14,2025-11-14,10000,1
10,347148,V347148,2025-06-28,2025-06-28,10000,1
11,324876,V324876,2025-08-21,2025-08-21,10000,1
12,373273,V373273,2025-11-14,2025-11-14,10000,1
13,376681,V376681,2025-03-07,2025-03-07,10000,1
14,975763,V975763,2025-01-06,2025-01-06,10000,1
15,25077,V25077,2025-07-07,2025-07-07,10000,1
16,54914,V54914,2025-01-13,2025-01-13,10000,1
17,65710,V65710,2025-07-14,2025-07-14,10000,1
18,806081,V806081,2025-05-28,2025-05-28,10000,1
19,955074,V955074,2025-06-28,2025-06-28,10000,1
20,324998,V324998,2025-12-21,2025-12-21,10000,1
21,548631,V548631,2025-12-28,2025-12-28,10000,1
22,333301,V333301,2025-08-28,2025-08-28,10000,1
23,929600,V929600,2025-11-21,2025-11-21,10000,1
24,142472,V142472,2025-04-07,2025-04-07,10000,1
25,48400,V48400,2025-03-28,2025-03-28,10000,1
26,882493,V882493,2025-03-07,2025-03-07,10000,1
27,926771,V926771,2025-02-27,2025-02-27,10000,1
28,122966,V122966,2025-12-21,2025-12-21,10000,1
29,456164,V456164,2025-05-07,2025-05-07,10000,1
30,435195,V435195,2025-01-20,2025-01-20,10000,1
31,967213,V967213,2025-08-28,2025-08-28,10000,1
32,984578,V984578,2025-02-06,2025-02-06,10000,1
33,757701,V757701,2025-03-21,2025-03-21,10000,1
34,848813,V848813,2025-02-27,2025-02-27,10000,1
35,976906,V976906,2025-02-20,2025-02-20,10000,1
36,155968,V155968,2025-02-20,2025-02-20,10000,1
37,444893,V444893,2025-07-21,2025-07-21,10000,1
38,874157,V874157,2025-05-28,2025-05-28,10000,1
